Dish,Indian,Mexican,Chinese,American,Mediterranean,Japanese,Thai,Italian
CardamomMango,1,0,0,0,0,0,0,0
Drip,0,1,0,0,0,0,0,0
Tang,0,0,2,0,0,0,0,0
Natives,0,0,0,1,0,0,0,0
Chop,0,0,1,1,0,1,0,0
DeepFried,0,0,0,1,0,3,0,0
Triple,0,0,0,2,0,0,0,0
Jelly,0,0,2,1,0,1,0,0
Blackened,0,0,0,6,0,0,0,0
DairyFree,1,0,0,0,0,0,0,0
Steak,0,2,3,8,0,1,3,2
Soba,0,0,0,0,0,4,0,0
Mangos,1,0,0,0,0,0,0,0
Res,0,1,0,0,0,0,0,0
Allies,0,0,0,0,0,0,0,1
Gazpacho,0,0,0,0,3,0,0,0
Buckeyes,0,0,0,1,0,0,0,0
Cutlets,1,0,0,0,0,1,0,2
Beignets,0,0,0,2,0,0,0,0
Crawfish,0,0,0,2,0,0,0,0
Rosemary,0,0,0,5,3,0,0,3
Amore,0,0,0,0,1,0,0,0
Oil,0,0,1,0,2,1,0,0
Sauteed,0,0,0,0,0,0,0,2
Rotini,0,0,0,0,0,0,0,1
Jack,0,1,0,0,0,0,0,0
Sankaya,0,0,0,0,0,0,1,0
Souffle,0,0,0,0,0,1,0,0
Simple,1,4,3,3,1,1,2,4
Tasty,0,0,2,0,0,0,0,0
without,0,0,1,0,0,0,0,1
Omuraisu,0,0,0,0,0,1,0,0
Cindis,0,0,1,0,0,0,0,0
You,0,0,1,1,1,0,0,0
Mex,0,2,0,1,0,0,0,0
Leek,0,0,0,0,0,1,0,0
Lotus,0,0,1,0,0,0,0,0
YumYums,0,0,1,0,0,0,0,0
Saute,0,0,0,0,0,0,0,1
Treats,1,0,0,0,0,0,0,0
Monicas,0,0,0,0,0,1,0,0
Dessert,0,2,1,0,0,2,0,0
Alla,0,0,0,0,1,0,0,2
Pickles,0,0,1,0,0,0,0,0
Cuke,0,0,0,0,0,1,0,0
Version,0,0,0,0,0,0,2,0
Washabinaros,0,0,0,0,0,1,0,0
Papaya,0,0,1,0,0,0,1,0
Portobello,0,0,0,0,1,0,0,2
Bolo,0,0,1,0,0,0,0,0
Farfalle,0,0,0,0,1,0,0,0
Ciabatta,0,0,0,0,0,0,0,1
HoisinPeanut,0,0,0,0,0,0,1,0
Flower,0,0,1,0,0,0,0,0
Acorn,0,0,0,3,0,0,0,0
Thermostat,1,0,0,0,0,0,0,0
Cucumbers,0,0,2,0,0,1,0,0
Samosa,2,0,0,0,0,0,0,0
ChicagoStyle,0,0,0,2,0,0,0,0
Moroccan,0,0,0,0,5,0,0,0
Zaru,0,0,0,0,0,1,0,0
Asian,0,0,7,0,0,1,3,0
Pizza,1,3,0,3,2,0,2,29
Suey,0,0,1,0,0,0,0,0
Cucumber,6,4,1,1,0,5,6,0
Grapes,1,0,0,0,0,0,0,0
Bag,0,1,0,0,0,0,0,0
Lemon,1,0,2,8,7,0,2,4
Rellenos,0,6,0,0,0,0,0,0
Oozing,0,0,0,0,1,0,0,0
Jet,0,0,0,0,0,0,1,1
Tostados,0,1,0,0,0,0,0,0
Shakshouka,0,0,0,1,0,0,0,0
Grinders,0,0,0,0,0,0,0,1
Gyudon,0,0,0,0,0,3,0,0
Incredible,0,0,1,0,0,0,0,1
Seitan,1,0,0,0,0,0,0,0
Ju,0,0,1,0,0,0,0,0
He,0,0,2,0,0,0,0,0
Lunch,0,1,0,0,0,0,0,0
Dumplings,0,0,12,0,0,0,1,0
Poppers,0,0,0,1,0,0,0,0
Home,1,0,0,1,0,1,0,0
Bottle,0,0,0,0,0,1,0,0
Mexicana,0,1,0,0,0,0,0,0
Vegetarian,5,7,0,2,4,1,3,2
Juicy,0,0,0,0,0,1,0,0
Blossoms,0,0,0,0,1,0,0,0
Ricardos,0,0,0,0,0,0,0,1
Singaporean,0,0,1,0,0,0,0,0
Tim,1,0,0,0,0,0,0,1
On,0,0,1,0,0,0,0,0
Shieldzini,0,0,0,0,0,1,0,0
in,7,4,8,5,4,1,11,4
Chiles,0,3,0,0,0,0,1,0
Kowloons,0,0,1,0,0,0,0,0
Tangy,2,1,1,3,0,0,0,0
Polenta,0,0,0,0,0,0,0,5
of,1,2,2,2,0,0,0,1
Agioritiki,0,0,0,0,1,0,0,0
Nikujaga,0,0,0,0,0,1,0,0
Frittata,0,1,0,0,0,0,0,0
Boule,0,1,0,0,0,0,0,0
Kolacky,0,0,0,1,0,0,0,0
Kick,0,0,1,0,0,0,0,0
BarBQ,0,0,0,1,0,0,0,0
Nonas,0,0,0,0,0,2,0,0
Terrific,0,1,0,0,0,0,0,0
Key,0,0,0,1,0,0,0,1
Tantalizing,0,0,0,0,0,0,1,1
Bangan,1,0,0,0,0,0,0,0
Puffs,0,0,0,0,0,0,0,1
Free,0,1,0,0,0,0,0,0
Catherines,0,1,0,0,0,0,0,0
Love,0,0,0,0,0,0,0,1
Daikon,0,0,1,0,0,0,0,0
Dengaku,0,0,0,0,0,1,0,0
Foo,0,0,4,0,0,0,1,0
Instant,2,0,2,0,2,1,2,3
Riced,0,0,1,0,0,0,0,0
VI,0,0,0,1,0,0,0,0
Sour,0,5,16,1,1,0,4,0
Surprise,0,0,1,0,0,0,0,0
Linnies,0,1,0,0,0,0,0,0
Tikka,11,0,0,0,0,0,0,0
Fajitas,0,9,0,0,0,0,0,0
Turkish,0,0,0,0,4,0,0,0
Tartar,0,0,0,0,0,1,0,0
Rollatini,0,0,0,0,0,0,0,2
Escarole,0,0,0,0,0,0,0,1
Cookies,0,2,4,4,0,1,0,6
Po,0,0,4,0,0,0,2,0
Cloud,0,0,1,0,0,0,0,0
Cannellini,0,0,0,0,0,0,0,2
Sushi,0,0,0,0,0,19,0,0
Broken,1,0,0,0,0,0,0,0
From,1,0,0,0,0,0,0,0
ChineseStyle,0,0,7,0,0,0,0,0
Toss,0,0,0,0,0,0,0,2
Bread,7,2,0,14,3,3,0,23
Bean,2,27,7,7,5,1,2,3
Pennsylvania,0,0,0,1,0,0,0,0
Tikki,1,0,0,0,0,0,0,0
In,0,0,0,0,1,0,0,0
Cauliflower,18,1,0,0,3,0,1,0
Andalusian,0,0,0,0,1,0,0,0
Coffee,1,0,0,2,0,2,1,0
Eight,0,0,2,0,0,0,0,0
Fak,0,0,0,0,0,0,1,0
Crispy,1,0,5,1,0,3,1,0
Of,0,0,0,0,0,0,0,1
Meaty,0,0,0,0,0,0,0,1
Gaeng,0,0,0,0,0,0,1,0
Mizu,0,0,0,0,0,1,0,0
Fries,1,0,0,0,1,0,0,0
Burgers,2,2,1,3,0,0,3,0
Verde,0,7,0,0,0,0,0,0
Meat,2,3,2,0,0,0,0,3
Gobi,6,0,0,0,0,0,0,0
Hamburger,0,1,0,2,0,0,0,0
Mao,0,0,0,0,0,0,2,0
Cheaters,0,1,0,0,0,0,0,0
Wedges,0,0,0,0,2,0,0,0
Parsley,0,0,0,0,2,0,0,0
di,0,0,0,0,2,0,0,1
Four,1,0,0,0,0,0,0,3
Better,0,0,1,0,0,0,0,1
God,0,0,0,0,1,0,0,0
Zucchini,1,3,0,2,17,0,0,6
Mostaccioli,0,0,0,0,0,0,0,1
Upma,2,0,0,0,0,0,0,0
PanFried,0,0,3,0,3,0,0,1
Man,0,0,0,0,0,0,3,0
Brooklyn,0,0,0,0,0,0,0,1
Cornish,1,0,0,0,0,0,0,0
Ng,0,0,1,0,0,0,0,0
Kushiyaki,0,0,0,0,0,2,0,0
Alicias,1,0,0,0,0,0,0,0
Flour,1,2,0,0,0,0,0,0
Cobbler,0,0,0,10,0,0,0,0
Giardiniera,0,0,0,0,0,0,0,1
Faux,1,0,0,0,0,0,0,0
Lychees,0,0,0,0,0,0,1,0
WasabiButter,0,0,0,1,0,0,0,0
Coleslaw,0,1,0,2,0,0,1,0
Halwa,1,0,0,0,0,0,0,0
Angelas,0,1,0,0,0,0,0,0
Frogmore,0,0,0,1,0,0,0,0
Absolutely,1,1,0,0,0,0,0,0
Olives,0,0,0,0,1,0,0,0
NikkiStyle,0,0,0,0,0,0,1,0
Azuki,0,0,0,0,0,1,0,0
West,0,0,0,1,0,0,0,1
Super,0,2,1,0,0,0,0,0
Region,0,0,0,1,0,0,0,0
Subji,1,0,0,0,0,0,0,0
Guacamole,0,7,0,1,1,1,0,0
Panang,0,0,0,0,0,0,5,0
and,55,36,59,39,43,22,35,50
Laddu,1,0,0,0,0,0,0,0
MediterraneanInspired,0,0,0,0,1,0,0,0
Andouille,0,0,0,1,0,0,0,0
than,0,0,1,0,0,0,0,1
Mix,1,4,0,1,0,0,0,1
Peking,0,0,3,0,0,0,0,0
Pa,0,0,1,0,0,0,0,0
Dashi,0,0,0,0,0,4,0,0
Crust,0,1,0,0,0,0,0,8
Kohlrabi,0,0,0,0,1,0,0,0
Zest,0,0,1,0,0,0,0,0
Years,0,0,0,0,0,1,0,0
Top,0,1,0,0,0,0,0,0
Dofu,0,0,2,0,0,0,0,0
Melt,0,0,0,1,0,0,0,0
Campbells,0,1,0,0,0,0,0,0
Ribbons,0,0,0,0,1,0,0,0
Sheet,0,0,0,1,1,0,0,0
Phujia,1,0,0,0,0,0,0,0
Marians,1,0,0,0,0,0,0,0
Overnight,0,0,1,0,0,0,0,0
Ups,0,0,0,0,0,0,0,2
WWII,0,0,0,1,0,0,0,0
Spring,0,0,2,0,0,1,4,0
Grass,0,0,0,0,0,0,2,0
Tampa,1,0,0,0,0,0,0,0
Cacio,0,0,0,0,0,0,0,3
Style,9,5,12,8,1,1,5,6
Caras,0,0,0,0,0,0,0,1
Fortune,0,0,2,0,0,0,0,0
Motoyaki,0,0,0,0,0,1,0,0
Tsaos,0,0,1,0,0,0,0,0
Almonds,0,0,0,0,1,0,0,0
Saagwala,1,0,0,0,0,0,0,0
Seafood,0,1,0,1,0,1,0,2
Orleans,0,0,0,2,0,0,0,0
Wontons,0,0,2,0,0,0,0,0
Bake,0,8,0,2,2,0,0,7
Kasutera,0,0,0,0,0,2,0,0
OnePot,1,0,0,0,0,0,0,0
Khao,0,0,0,0,0,0,7,0
Sarahs,0,0,0,0,0,1,0,0
Pesto,1,0,0,1,2,1,0,25
Ronaldos,0,1,0,0,0,0,0,0
Gumbo,0,0,0,5,0,0,0,0
Tofu,8,0,15,0,0,14,9,2
Tempura,0,0,0,0,0,4,0,0
Gelatin,0,0,2,0,0,1,0,0
BiryaniStyle,1,0,0,0,0,0,0,0
Subzi,1,0,0,0,0,0,0,0
Bulgur,0,0,0,0,1,0,0,0
Creme,0,0,0,0,0,0,0,1
Zucchilattas,0,1,0,0,0,0,0,0
Germ,0,0,0,1,0,0,0,0
Crisp,0,0,0,4,0,0,0,1
Kai,0,0,0,0,0,0,2,0
Neeo,0,0,0,0,0,0,1,0
Quorn,1,0,0,0,0,0,0,0
Sunomono,0,0,0,0,0,3,0,0
Friendship,0,0,0,1,0,0,0,0
Pulled,0,0,0,3,0,0,0,0
Delightful,1,0,0,0,0,0,0,0
Pastries,0,0,1,0,0,0,0,0
Carp,0,0,1,0,0,0,0,0
Foglie,0,0,0,0,1,0,0,0
General,0,0,5,0,0,0,0,0
ThaiFlavored,0,0,0,0,0,0,1,0
Souvlaki,0,0,0,0,1,0,0,0
Beng,0,0,1,0,0,0,0,0
Romaine,0,0,0,0,1,0,0,0
Makhani,11,0,0,0,0,0,0,0
on,0,3,0,0,1,0,1,1
Hiyayakko,0,0,0,0,0,1,0,0
Crumb,0,0,0,0,0,0,0,1
Splendor,1,0,0,0,0,0,0,0
Stand,1,0,0,0,0,0,0,0
Koftas,1,0,0,0,0,0,0,0
Influenced,0,0,0,0,0,1,0,0
Eew,0,0,0,0,0,0,1,0
Tapenade,0,0,0,0,1,0,0,1
Peppercorn,0,0,1,0,0,0,0,0
Dal,8,0,0,0,0,0,0,0
Lazy,0,0,1,0,0,0,0,0
Abbys,0,0,0,0,0,0,0,1
Fusion,0,0,0,0,0,1,0,0
Crunchy,0,1,0,1,0,0,1,1
Tuscan,0,0,0,0,0,0,0,2
I,5,18,7,18,3,2,0,22
Breaded,0,0,0,0,0,0,1,1
Cake,0,4,5,14,0,7,3,7
Fry,3,0,4,1,0,1,1,0
Japanesestyle,0,0,0,0,0,1,0,0
Omelet,1,0,0,0,0,3,0,0
Duro,0,0,0,0,1,0,0,0
Refreshing,0,0,0,0,1,0,0,0
Microwave,0,0,0,0,0,2,0,1
Curried,25,0,0,0,0,0,2,0
Dog,0,0,0,2,0,0,0,0
Cristo,0,0,0,1,0,0,0,0
Taro,0,0,0,0,0,0,1,0
Als,0,0,0,1,0,0,0,0
Gosht,2,0,0,0,0,0,0,0
Chile,0,13,1,0,0,1,2,0
Ultimo,0,1,0,0,0,0,0,0
Challah,0,0,0,2,0,0,0,0
Dads,0,0,0,0,0,0,1,0
ItalianStyle,0,0,0,0,0,0,0,1
CucumberCilantro,1,0,0,0,0,0,0,0
Charra,0,1,0,0,0,0,0,0
Breasts,0,0,0,3,0,0,0,0
Fakes,0,0,0,0,1,0,0,0
Topping,0,0,0,0,0,0,0,1
Thick,1,0,0,0,0,1,0,0
Halibut,1,0,0,5,0,0,0,1
Sheep,0,0,0,0,0,0,0,1
OrangeMaple,0,0,0,0,1,0,0,0
Worth,0,0,0,0,0,0,1,0
Ground,3,4,4,1,0,0,2,1
Suan,0,0,1,0,0,0,0,0
Arrabiata,0,0,0,0,0,0,0,1
Clam,0,0,1,6,0,0,1,0
Vindaloo,6,0,0,0,0,0,0,0
MaidRite,0,0,0,1,0,0,0,0
Skewers,1,0,1,0,1,1,1,0
Deluxe,0,0,0,0,0,0,0,1
Saag,6,0,0,0,0,0,0,0
Anise,0,0,1,0,0,0,0,0
Momos,0,0,1,0,0,0,0,0
Easy,28,23,5,7,12,4,7,18
Busy,0,1,0,0,0,0,0,0
Flavorful,0,0,1,0,0,0,0,0
Peppers,1,3,2,0,1,0,1,4
Creamy,3,3,2,5,1,0,0,8
Philly,0,0,0,2,0,0,0,0
CoconutCurry,1,0,0,0,0,0,0,0
Mung,0,0,0,0,0,0,3,0
Pav,1,0,0,0,0,0,0,0
Boil,0,0,0,1,0,1,0,0
Sirloin,0,1,0,0,0,0,0,0
Hudsons,0,0,0,1,0,0,0,0
Country,0,0,0,3,0,0,0,0
Butternut,1,0,0,1,0,0,1,2
Perfection,0,0,0,1,0,0,0,0
Shiso,0,0,0,0,0,1,0,0
Oyako,0,0,0,0,0,1,0,0
Santa,0,1,0,1,0,0,0,0
Fantastique,0,0,0,0,0,0,0,1
Cube,0,1,0,0,0,0,0,1
Awesome,0,1,0,2,0,0,0,2
Queso,0,0,0,0,1,0,0,0
Puttanesca,0,0,0,0,0,0,0,1
Drowned,0,1,0,0,0,0,0,0
Shahi,1,0,0,0,0,0,0,0
Flatbread,1,0,0,0,0,0,0,0
Extra,0,0,1,0,1,0,0,0
VeganStyle,1,0,0,0,0,0,0,0
Whitneys,0,0,1,0,0,0,0,0
Wonderful,0,0,0,1,0,0,0,0
Recipe,3,0,1,0,1,3,1,1
Campagnola,0,0,0,0,1,0,0,0
Steamed,0,0,17,0,1,3,7,0
Kratiem,0,0,0,0,0,0,2,0
Leeks,0,0,0,0,0,0,1,0
Mexicano,0,2,0,0,0,0,0,0
Naanlike,1,0,0,0,0,0,0,0
Night,0,1,0,0,0,0,0,0
Szechwan,0,0,2,0,0,0,0,0
Kung,0,0,3,0,0,0,0,0
Oregon,0,0,0,1,0,0,0,0
Tamago,0,0,0,0,0,1,0,0
Saury,0,0,0,0,0,1,0,0
Meatballs,0,0,2,1,0,1,1,13
Kiwi,1,0,0,0,0,0,0,0
Teriyaki,0,0,0,0,0,8,0,0
Haldi,1,0,0,0,0,0,0,0
CilantroLime,0,2,0,0,0,0,0,0
Lawd,0,0,0,0,0,0,1,0
Bolognese,0,0,0,0,0,0,0,4
Dynamite,0,0,0,0,0,1,0,0
Katsu,0,0,0,0,0,3,0,0
Made,1,0,0,0,0,0,0,0
Ginger,2,0,8,2,0,6,3,0
Loin,1,0,0,2,1,0,0,1
Bruschetta,0,0,0,0,0,0,0,8
Mustard,2,0,0,0,0,0,0,0
Dukkah,0,0,0,0,1,0,0,0
HoneyCumin,0,1,0,1,0,0,0,0
Bonito,0,0,0,0,0,1,0,0
Tortilla,0,13,0,0,0,0,0,0
Fagioli,0,0,0,0,4,0,0,8
Coal,0,0,0,1,0,0,0,0
Ties,0,0,0,0,0,0,0,1
Samosadilla,1,0,0,0,0,0,0,0
Vicious,0,0,1,0,0,0,0,0
St,0,0,0,1,0,0,0,0
American,0,0,0,0,0,0,0,1
Vegetable,12,2,4,0,3,0,2,3
Lai,0,0,0,0,0,0,1,0
Hibbs,0,0,0,1,0,0,0,0
Buckeye,0,0,0,1,0,0,0,0
Lollipops,0,0,0,1,0,0,0,0
Relleno,0,2,0,0,0,0,0,0
Peel,0,0,1,0,0,0,0,0
Favorite,0,2,0,2,0,0,0,0
Orzo,0,0,0,0,1,0,0,3
Sarson,1,0,0,0,0,0,0,0
Bay,0,0,0,1,0,0,0,0
Sprouts,1,0,1,1,1,0,0,1
LemonCaper,0,0,0,1,0,0,0,0
Empanadas,0,1,0,0,2,0,0,0
Hawaiian,0,0,0,2,0,0,0,0
Barlows,0,0,0,1,0,0,0,0
Garbanzos,0,0,0,0,1,0,0,0
Italian,1,0,0,3,10,0,0,84
Oatmeal,0,0,0,3,0,0,0,0
Simmered,1,0,0,0,0,1,0,0
Lees,0,0,1,0,0,0,0,0
Tagliatelle,0,0,0,0,1,0,0,0
Boudreauxs,0,0,0,1,0,0,0,0
Tails,0,0,0,2,0,0,0,0
Smoothie,1,0,0,0,0,0,0,0
Kofta,2,0,0,0,0,0,0,0
Inari,0,0,0,0,0,1,0,0
3Ingredient,0,0,0,0,0,1,0,0
Cocoa,0,0,0,0,0,0,1,0
Chutney,15,0,0,1,0,0,0,0
Mock,0,0,1,0,0,0,0,0
Supreme,0,2,0,1,0,0,0,0
Light,0,0,1,0,0,0,0,0
TomatoMozzarella,0,0,0,0,1,0,0,0
Soft,0,3,0,0,0,1,0,0
Braised,0,0,5,2,0,1,0,1
MahHaw,0,0,0,0,0,0,1,0
Tres,0,3,0,0,0,0,0,0
Bowl,0,0,3,0,0,7,1,0
Wine,0,0,1,1,0,0,0,1
Carnitas,0,7,0,0,0,0,0,0
Doogies,0,0,0,0,1,0,0,0
Noodles,2,0,13,0,1,3,13,1
Rangoon,0,0,2,0,0,0,0,0
Ear,0,0,1,0,0,0,0,0
Sai,0,0,0,0,0,0,1,0
Tequila,0,1,0,1,0,0,0,0
Gai,0,0,2,0,0,0,10,0
Charleston,0,0,0,1,0,0,0,0
Nabe,0,0,0,0,0,1,0,0
Blood,0,0,0,0,1,0,0,0
Carries,0,0,0,0,0,0,1,1
My,0,1,1,2,1,1,0,0
Casserole,1,32,1,9,0,0,0,7
Glazed,0,0,0,3,0,0,0,0
Ladoo,1,0,0,0,0,0,0,0
Blackberry,0,0,0,3,0,0,0,0
Down,0,0,0,1,0,0,0,0
DAutunno,0,0,0,0,1,0,0,0
Antipasto,0,0,0,0,2,0,0,2
Muffins,0,0,0,3,0,1,0,0
Dressing,1,4,0,1,2,6,2,6
Poblano,0,2,0,0,0,0,0,0
Fudge,1,0,0,0,0,0,0,0
Kale,1,0,0,0,1,0,0,5
Blend,1,0,0,1,0,0,0,0
Drunken,0,1,0,0,0,0,2,0
Cashews,2,0,1,0,0,0,1,0
Rocks,0,1,0,0,0,0,0,0
Rogan,1,0,0,0,0,0,0,0
Shortcake,0,0,0,1,0,0,0,0
Karyns,0,0,0,1,0,0,0,0
Sabudana,1,0,0,0,0,0,0,0
Filet,0,0,1,0,0,0,0,0
Dead,0,1,0,0,0,0,0,0
Tomato,12,7,4,5,4,0,2,16
Muhammara,0,0,0,0,1,0,0,0
Turnips,3,0,0,0,0,1,0,0
Lovers,0,0,0,0,0,0,0,1
Vegetables,2,0,4,0,8,0,2,1
Sourdough,0,0,0,1,0,0,0,0
Mozzarella,0,0,0,0,1,1,0,3
Ranch,0,3,0,2,0,1,0,0
Mamas,0,0,0,0,0,0,0,1
PanSeared,0,0,0,0,1,0,0,0
Gau,0,0,1,0,0,0,0,0
Jimmys,0,1,0,0,0,0,0,0
Quesadillas,0,11,0,2,0,0,0,0
Caldo,0,1,0,0,0,0,0,0
Round,0,0,0,1,0,0,0,0
Peas,7,0,2,1,0,0,1,1
Ramen,0,0,0,0,0,6,0,0
Tao,0,0,1,0,0,0,0,0
Rosys,1,0,0,0,0,0,0,0
Konbu,0,0,0,0,0,1,0,0
Tartare,0,0,0,0,1,1,0,0
Jambalaya,0,0,0,9,0,0,0,0
Tip,0,0,0,0,0,0,1,0
Lobster,0,0,3,3,0,0,0,0
Sandwiches,1,2,0,3,0,0,0,2
Thong,0,0,0,0,0,0,1,0
Twelve,0,0,0,0,0,0,0,1
Seasoned,0,0,0,0,0,0,1,0
Rose,1,0,0,0,0,0,0,0
Low,0,0,0,1,0,0,0,0
Yen,0,0,0,0,0,0,1,0
Indianstyle,1,0,0,0,0,0,0,0
King,0,0,0,2,0,0,1,0
Molasses,0,0,0,1,0,0,0,0
JapaneseInspired,0,0,0,0,0,1,0,0
Saporite,0,0,0,0,0,0,0,1
Venison,0,1,0,1,0,0,0,0
Marvels,0,0,0,0,0,1,0,0
Enchiladas,0,48,0,1,0,0,0,0
Congee,0,0,8,0,0,0,0,0
Ajillo,0,0,0,0,1,0,0,0
Creole,0,0,0,5,0,0,0,0
Goo,0,0,2,0,0,0,0,0
Double,0,3,1,0,0,0,0,2
7,0,0,0,0,0,1,0,0
Filled,0,0,0,0,0,0,0,1
Beefy,0,1,1,0,0,0,0,1
Five,0,0,2,0,0,0,0,0
Bell,0,0,0,0,0,0,0,1
CoconutChicken,0,0,0,0,0,0,1,0
Masala,35,0,0,0,0,0,0,0
Sugo,0,0,0,0,1,0,0,0
Misozuke,0,0,0,0,0,1,0,0
Barons,0,0,0,1,0,0,0,0
Marinade,0,5,1,2,1,3,1,1
Honey,0,0,2,4,0,2,0,0
Market,0,1,0,1,1,0,0,0
Broth,0,0,0,0,0,1,0,0
Easiest,0,0,0,0,0,0,0,1
Aloo,14,0,0,0,0,0,0,0
Fried,3,1,12,9,1,10,15,0
Pantry,1,1,0,0,0,0,0,0
Carrots,2,0,0,2,3,0,0,0
Hong,0,0,7,0,0,0,0,0
NoCream,0,0,0,0,0,0,0,1
England,0,0,0,1,0,0,0,0
Calzone,0,0,0,0,0,0,0,1
Boats,0,0,0,0,1,0,0,0
Tomalito,0,1,0,1,0,0,0,0
MilkFree,0,0,0,0,0,0,1,0
Sooji,1,0,0,0,0,0,0,0
Stars,0,0,0,0,0,0,0,1
Freezer,0,0,0,0,0,0,0,1
Hazelnut,0,0,0,0,0,0,0,1
Peach,1,0,0,6,0,0,0,0
Spicy,29,19,17,5,3,4,17,2
Spices,1,0,0,0,0,0,0,0
Samosas,7,0,0,0,0,0,0,0
TakeOut,0,0,1,0,0,0,0,0
Tobiko,0,0,0,0,0,1,0,0
Ka,2,0,0,0,0,0,2,0
Roasted,4,3,2,7,10,1,0,7
Caramelized,0,0,0,0,0,0,0,1
Lassi,9,0,0,0,0,0,0,0
Velveting,0,0,1,0,0,0,0,0
Veggies,0,0,0,0,0,0,0,1
Pasta,0,2,2,7,12,0,2,51
Daddys,0,0,1,0,0,0,0,0
Michigander,0,0,0,1,0,0,0,0
Phulourie,1,0,0,0,0,0,0,0
Dry,1,0,0,1,0,0,0,0
Sausage,0,0,1,6,1,1,0,23
Andreas,0,0,0,0,0,0,0,1
Outrageous,0,1,0,0,0,0,0,0
Rollups,0,1,0,0,0,0,0,0
Chia,0,0,0,0,2,0,0,0
SausageStuffed,0,0,0,0,1,0,0,1
HunanStyle,0,0,1,0,0,0,0,0
Slices,0,1,0,0,0,0,0,0
Minestrone,0,0,0,1,0,0,0,5
Batmans,0,0,0,0,0,0,0,1
LatinInspired,0,1,0,0,0,0,0,0
Spareribs,0,0,3,0,0,0,0,0
Bowtie,0,0,0,0,0,0,0,1
Margherita,1,0,0,0,0,0,0,1
KongStyle,0,0,1,0,0,0,0,0
Mochi,0,0,0,0,0,11,0,0
Chakin,0,0,0,0,0,1,0,0
Kheema,2,0,0,0,0,0,0,0
Himalayan,1,0,0,0,0,0,0,0
Sukha,1,0,0,0,0,0,0,0
Scampi,0,0,0,0,0,0,0,4
Fettuccini,0,0,0,1,0,0,0,3
Fondue,0,0,0,1,0,0,0,0
Bangaladumpa,1,0,0,0,0,0,0,0
Portobella,0,0,0,0,1,0,0,0
Lolas,0,1,0,0,0,0,0,0
Yuki,0,0,0,0,0,1,0,0
Beckys,0,0,0,0,0,0,1,0
Forgotten,0,1,0,0,0,0,0,0
Chilaquiles,0,1,0,0,0,0,0,0
Rolls,0,1,4,1,0,4,7,1
StirFry,2,0,14,0,0,3,3,0
Tantanmen,0,0,1,0,0,0,0,0
Apricot,2,0,0,1,0,0,0,0
Eastern,0,0,0,0,1,0,0,0
Lucys,0,0,0,0,0,1,0,0
Mi,0,0,1,0,0,0,0,0
Chopped,0,0,0,0,1,0,0,0
Beetroot,1,0,0,0,0,0,0,0
Zuppa,0,0,0,0,0,0,0,3
Mochiko,0,0,1,0,0,0,0,0
MustTry,0,0,1,0,0,0,0,0
Naan,5,0,0,0,0,0,0,0
Rotti,1,0,0,0,0,0,0,0
Nariyal,1,0,0,0,0,0,0,0
MangoPineapple,1,0,0,0,0,0,0,0
Siciliano,0,0,0,0,0,0,0,1
Long,0,0,1,0,0,0,0,0
Ceviche,0,3,0,0,0,0,0,0
Gigantes,0,0,0,0,1,0,0,0
Sambar,1,0,0,0,0,0,0,0
estilo,0,1,0,0,0,0,0,0
Whisky,0,0,0,1,0,0,0,0
Glos,0,0,0,0,0,1,0,0
Kickin,0,1,0,1,0,0,0,0
Cheddar,0,0,0,0,0,0,0,1
Gallo,0,4,0,1,0,0,0,0
Posole,0,2,0,0,0,0,0,0
Mayan,0,1,0,0,0,0,0,0
Kawa,0,0,0,0,0,1,0,0
Korean,0,1,0,0,0,0,0,0
Brinjal,1,0,0,0,0,0,0,0
ParmesanCrusted,0,0,0,1,0,0,0,0
Scrambled,0,0,0,0,0,1,0,0
Amazing,0,2,0,1,0,0,1,4
Vin,0,0,0,0,0,0,0,1
India,2,0,0,0,0,0,0,0
Syrup,0,0,0,1,0,0,4,0
Confetti,0,0,0,0,0,0,0,1
Spanish,0,4,0,0,6,0,0,0
CountryStyle,0,0,0,1,0,1,0,0
RollUps,0,2,0,0,0,0,0,0
Nasu,0,0,0,0,0,1,0,0
Bow,0,0,0,0,0,0,0,1
Avocado,0,9,1,2,1,2,1,0
Ew,0,0,0,0,0,0,1,0
Gulab,1,0,0,0,0,0,0,0
Whole,2,1,0,0,2,0,2,0
Brussels,0,0,0,1,1,0,0,1
Sweet,10,7,16,16,4,7,10,2
Gift,0,0,0,0,0,0,0,1
Keons,1,0,0,0,0,0,0,0
Foster,0,1,0,1,0,0,0,0
Sum,0,0,1,0,0,0,0,0
Phad,0,0,0,0,0,0,1,0
Eggplants,0,0,0,0,0,0,1,0
Wisconsin,0,0,0,3,0,0,0,0
President,0,0,0,1,0,0,0,0
Cookie,0,0,1,1,0,0,0,0
Sticky,0,0,2,1,0,0,7,0
IV,0,2,0,0,1,0,0,3
Pulao,2,0,0,0,0,0,0,0
Seed,0,0,0,0,0,1,0,0
GreekStyle,0,0,0,0,1,0,0,0
e,0,0,0,0,3,0,0,8
SlowCooked,0,1,1,1,0,0,0,0
Secret,0,1,0,0,0,0,0,0
Healthier,0,1,0,0,0,0,0,0
New,0,0,4,9,0,1,0,1
Heavenly,0,0,0,1,0,0,0,0
Kashmiri,3,0,0,0,0,0,0,0
Candied,0,0,0,1,0,0,1,0
Hearty,0,0,0,0,0,0,0,3
